market_key,interval,timestamp,open,high,low,close,volume,buy_volume,sell_volume
binance:btcusdt_perp.a,1min,1779580800,108000.0,108017.08506637317,107970.49548804194,108005.48490743557,355.2451773112971,136.03683816361382,219.20833914768326
binance:btcusdt_perp.a,1min,1779580860,108005.48490743557,108028.76331146725,107963.49375578649,107982.33132986305,278.6559073996569,129.4926683204079,149.163239079249
binance:btcusdt_perp.a,1min,1779580920,107982.33132986305,108028.5093555516,107959.67102288744,107998.73143619731,370.1792965574426,207.18702944577902,162.9922671116636
binance:btcusdt_perp.a,1min,1779580980,107998.73143619731,108024.41894403813,107971.70850173019,107984.1196757219,350.2760241045818,190.5999853343136,159.67603877026818
binance:btcusdt_perp.a,1min,1779581040,107984.1196757219,107999.31038027786,107947.70571362968,107981.93112701642,267.63764143449583,143.5992323967132,124.03840903778263
binance:btcusdt_perp.a,1min,1779581100,107981.93112701642,108009.25421887195,107951.35927366583,107977.01371430948,313.01860892767905,188.65121482861605,124.367394099063
binance:btcusdt_perp.a,1min,1779581160,107977.01371430948,108035.20041723053,107960.13614160019,108017.26456739438,214.89818174016978,134.90232140423117,79.9958603359386
binance:btcusdt_perp.a,1min,1779581220,108017.26456739438,108060.42582576085,108003.666132164,108039.56530033739,214.04150274470084,137.63588985097385,76.40561289372698
binance:btcusdt_perp.a,1min,1779581280,108039.56530033739,108082.63016091909,108024.22039741027,108055.19861823603,298.5729058453376,186.11459968752368,112.4583061578139
binance:btcusdt_perp.a,1min,1779581340,108055.19861823603,108092.37667907476,108030.96266274828,108061.66239129528,334.31308504575156,211.21498956405463,123.09809548169693
binance:btcusdt_perp.a,1min,1779581400,108061.66239129528,108097.97621319516,108054.23394949384,108069.66333093678,254.42630269141588,155.16012432548678,99.26617836592912
binance:btcusdt_perp.a,1min,1779581460,108069.66333093678,108088.9119084245,108024.27675221248,108061.22616532483,210.73351074454052,148.64175078792178,62.09175995661874
binance:btcusdt_perp.a,1min,1779581520,108061.22616532483,108079.87731502498,108010.63155362464,108034.25908427569,326.89778650874223,228.14419396347722,98.75359254526501
binance:btcusdt_perp.a,1min,1779581580,108034.25908427569,108070.63435773186,108016.88260220234,108052.12160845434,348.6380705005723,226.7711896697137,121.86688083085863
binance:btcusdt_perp.a,1min,1779581640,108052.12160845434,108062.78873631431,108020.1891818031,108032.99465894309,319.7728595243011,216.11176512968558,103.66109439461553
binance:btcusdt_perp.a,1min,1779581700,108032.99465894309,108067.2345119482,108009.40926203232,108049.50703841157,330.04723151738693,215.42101385599364,114.6262176613933
binance:btcusdt_perp.a,1min,1779581760,108049.50703841157,108077.4364069838,108031.13757687721,108062.05566639447,249.46096848013366,150.19257966795408,99.26838881217958
binance:btcusdt_perp.a,1min,1779581820,108062.05566639447,108092.69133383517,108039.9307252072,108075.3853572372,318.4597327124727,223.47455726415654,94.98517544831616
binance:btcusdt_perp.a,1min,1779581880,108075.3853572372,108113.17331197664,108057.61834035764,108092.15816682174,273.6225431274881,156.89076087915518,116.7317822483329
binance:btcusdt_perp.a,1min,1779581940,108092.15816682174,108100.9311706982,108059.10406311095,108071.13159483494,311.9819381378749,192.9711862069662,119.01075193090873
binance:btcusdt_perp.a,1min,1779582000,108071.13159483494,108106.1238778128,108051.12793175026,108069.56529203965,339.0012454773669,208.02988736754088,130.97135810982604
binance:btcusdt_perp.a,1min,1779582060,108069.56529203965,108083.82030552912,108050.95562279866,108071.32052607823,347.22465099659166,194.94654753818057,152.2781034584111
binance:btcusdt_perp.a,1min,1779582120,108071.32052607823,108109.17614991005,108055.2620256352,108084.79879388673,164.31537164892364,109.0158253464209,55.29954630250275
binance:btcusdt_perp.a,1min,1779582180,108084.79879388673,108109.12555600028,108058.90636114878,108081.12488260401,408.1423113056733,260.18958577543344,147.95272553023986
binance:btcusdt_perp.a,1min,1779582240,108081.12488260401,108104.91763895357,108044.54976381827,108068.74973065799,388.7350060192349,269.56539781190213,119.16960820733274
binance:btcusdt_perp.a,1min,1779582300,108068.74973065799,108118.03737378237,108058.63736120122,108081.40434487017,228.8198773800202,132.26587167430824,96.55400570571194
binance:btcusdt_perp.a,1min,1779582360,108081.40434487017,108089.6374833946,108052.44237954241,108080.79388901056,262.22218423209813,140.17637685797285,122.04580737412527
binance:btcusdt_perp.a,1min,1779582420,108080.79388901056,108105.92902748506,108038.70533571306,108069.086601392,439.7384713353429,345.5582476274635,94.18022370787942
binance:btcusdt_perp.a,1min,1779582480,108069.086601392,108095.38235786912,108068.40706419932,108083.27773906944,301.41691698750685,165.62179718534085,135.795119802166
binance:btcusdt_perp.a,1min,1779582540,108083.27773906944,108099.15677107884,108062.09103163812,108082.68312277396,365.27841846301146,217.02078070683496,148.2576377561765
binance:btcusdt_perp.a,1min,1779582600,108082.68312277396,108098.49424218456,108077.429952221,108086.85077971283,241.09536727413354,136.7546826842458,104.34068458988773
